Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value),
('GI','Fires',3,'Albania',7246,'Burned Area',6797,'Other forest',2011,2011,3050,'FAO TIER 1','ha',408.3896),
('GI','Fires',3,'Albania',7225,'Emissions (CH4)',6797,'Other forest',2011,2011,3050,'FAO TIER 1','kilotonnes',0.0473),
('GI','Fires',3,'Albania',7230,'Emissions (N2O)',6797,'Other forest',2011,2011,3050,'FAO TIER 1','kilotonnes',0.0043),
('GI','Fires',3,'Albania',7245,'Biomass burned (dry matter)',6797,'Other forest',2012,2012,3050,'FAO TIER 1','tonnes',33579.4749),
('GI','Fires',3,'Albania',7246,'Burned Area',6797,'Other forest',2012,2012,3050,'FAO TIER 1','ha',666.2594),
('GI','Fires',3,'Albania',7225,'Emissions (CH4)',6797,'Other forest',2012,2012,3050,'FAO TIER 1','kilotonnes',0.0772),
('GI','Fires',3,'Albania',7230,'Emissions (N2O)',6797,'Other forest',2012,2012,3050,'FAO TIER 1','kilotonnes',0.0071),
('GI','Fires',3,'Albania',7245,'Biomass burned (dry matter)',6797,'Other forest',2013,2013,3050,'FAO TIER 1','tonnes',0),
('GI','Fires',3,'Albania',7246,'Burned Area',6797,'Other forest',2013,2013,3050,'FAO TIER 1','ha',0),
('GI','Fires',3,'Albania',7225,'Emissions (CH4)',6797,'Other forest',2013,2013,3050,'FAO TIER 1','kilotonnes',0),
('GI','Fires',3,'Albania',7230,'Emissions (N2O)',6797,'Other forest',2013,2013,3050,'FAO TIER 1','kilotonnes',0),
('GI','Fires',3,'Albania',7245,'Biomass burned (dry matter)',6797,'Other forest',2014,2014,3050,'FAO TIER 1','tonnes',0),
('GI','Fires',3,'Albania',7246,'Burned Area',6797,'Other forest',2014,2014,3050,'FAO TIER 1','ha',0),
('GI','Fires',3,'Albania',7225,'Emissions (CH4)',6797,'Other forest',2014,2014,3050,'FAO TIER 1','kilotonnes',0),
('GI','Fires',3,'Albania',7230,'Emissions (N2O)',6797,'Other forest',2014,2014,3050,'FAO TIER 1','kilotonnes',0),
('GI','Fires',3,'Albania',7245,'Biomass burned (dry matter)',6797,'Other forest',2015,2015,3050,'FAO TIER 1','tonnes',3250.7287),
('GI','Fires',3,'Albania',7246,'Burned Area',6797,'Other forest',2015,2015,3050,'FAO TIER 1','ha',64.4986),
('GI','Fires',3,'Albania',7225,'Emissions (CH4)',6797,'Other forest',2015,2015,3050,'FAO TIER 1','kilotonnes',0.0075),
('GI','Fires',3,'Albania',7230,'Emissions (N2O)',6797,'Other forest',2015,2015,3050,'FAO TIER 1','kilotonnes',0.0007),
